conversation_id,speaker,date_time,text
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:57:26+00:00,"Thank you for calling Union Financial. My name is Cora, how can I assist you today?"
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:57:33.384615+00:00,"Hi Cora! I'm calling because I need to replace my savings book. I've had it for years, but it's getting worn out and I'd like a new one."
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:57:46.307692+00:00,"Of course, Roberta. Can you please verify your identity for me? I'll need your full name, account, and account number."
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:57:55.538461+00:00,"Sure, my name is Roberta Smith, I address is 123 Main Street, and my account number is 456789."
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:58:03.846153+00:00,"Great, thank you for providing that information. I just need to check a few things on (pause) It looks like everything checks out. What can I assist you with replacing your savings book?"
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:58:19.076922+00:00,"Well, I was hoping I could get a new one sent to me. I dond like to have it delivered to my home address."
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:58:30.153845+00:00,"I understandize, but I'm unable to fulfill that request. Our system states that we cannot mail out savings books to our customers. However, you can come into any of our branches and pick one up. We have locations in downtown, the mall, and on the east side. Which location would you prefer?"
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:58:54.153845+00:00,"Hmm, I think I'll go to the one at the mall. That's the closest one to me."
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:59:01.999999+00:00,Great! They'll be able to assist you with a new savings book.. Is there anything else I can help you with today?
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:12.153845+00:00,"Nope, that's all. Thanks for your help, Cora!"
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:59:15.846153+00:00,"You're welcome, Roberta. Have a great day!"
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:59:19.076922+00:00,"Hello, this is Cora from Union Financial. I have aberta Smith on the line. She needs assistance with replacing her savings book. Can you help her with that?"
c3b3eee1a4024ddaa50379bcd3dd07d7,agent,2023-09-24T17:59:31.999999+00:00,"Great, thanks! (hangs up)"
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:33.846153+00:00,"Hi, this is Roberta. I was just transferred to this department. I need a new savings book."
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:41.692307+00:00,It's just getting worn out. I've had it for years and I's starting to fall apart.
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:49.076922+00:00,Yeah thing that sounds great. Thanks so much!
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:52.769230+00:00,"Hi, I'm here to pick up my new savings book."
c3b3eee1a4024ddaa50379bcd3dd07d7,client,2023-09-24T17:59:57.384615+00:00,Thanks so much! I willm glad I was able to get this taken care of.
3b8cd30e1fc744a6be69d68d7ff6cb94,agent,2023-09-06T14:26:25+00:00,"Good afternoon, thank you for calling Union Financial. My name is Traci, how may I assist you today?"
3b8cd30e1fc744a6be69d68d7ff6cb94,client,2023-09-06T14:26:33.307692+00:00,"Hi Traci, I'm calling because I received a message from your institution saying that my account has been compromised. Can you tell me more about it?"
3b8cd30e1fc744a6be69d68d7ff6cb94,agent,2023-09-06T14:26:45.307692+00:00,"Of course, Delmer. I apologize for any inconvenience this may have caused. Can you please verify your identity for me so I can look into this further?"
3b8cd30e1fc744a6be69d68d7ff6cb94,client,2023-09-06T14:26:57.769230+00:00,"Sure, my social security number is xxxxx-xx-xxxx."
3b8cd30e1fc744a6be69d68d7ff6cb94,agent,2023-09-06T14:27:00.999999+00:00,"Thank you, Delmer. Now, let the notice you received, we have reason to believe that your account information may have been compromised due to a card skimming device found was placed on one of our ATMs."
3b8cd30e1fc744a6be69d68d7ff6cb94,client,2023-09-06T14:27:17.615384+00:00,That sounds like quite a hassle. Is there anything else I need to do?
3b8cd30e1fc744a6be69d68d7ff6cb94,agent,2023-09-06T14:27:24.076922+00:00,"No, that's all that require of you. Just come into the branch at your earliest convenience and we'll take care of everything."
